name,price,shop,commit
欧莱雅(LOREAL)男士水能玻尿酸1000倍锁水高保湿强润霜50ml(男士面霜补水 保湿霜男),89.00,欧莱雅男士京东自营官方旗舰店,400万+
大宝 美容日霜 50g+晚霜 50g（补水套装 面霜 补水保湿霜 男女可用 改善肤色 淡纹 ）,49.90,大宝京东自营旗舰店,20万+
娇兰（Guerlain）帝皇蜂姿紧致柔润晚霜面霜50ml 改善滋养细纹皱纹,1490.00,娇兰（Guerlain）京东自营官方旗舰店,2万+
李医生 DOCTOR LI 男士舒缓保湿霜50g（男士面霜 乳液 面霜 护脸霜 擦脸霜 补水保湿 润肤乳 男士护肤）,33.90,李医生京东自营官方旗舰店,50万+
兰芝(LANEIGE) 新水酷高保湿清润乳液面霜50ml (清爽控油 补水保湿 滋养润肤) 韩国进口 适合油皮/混油皮肤质,239.00,京东国际美妆官方直营店,50万+
倩碧混皮黄油125ml（无油黄油）清爽型乳液面霜 维稳修护皮脂膜 保湿 水油平衡 化妆品护肤品礼盒,298.00,Clinique倩碧京东自营官方旗舰店,5万+
百雀羚面霜 24小时水润保湿霜50g 营养滋润深度锁水保湿擦脸油精华霜润肤霜官网,40.00,百雀羚旗舰店,1万+
大宝 SOD蜜200ml（乳液男女 面霜 长效补水保湿 多效滋润霜 温和低敏 ）,19.90,大宝京东自营旗舰店,300万+
欧莱雅（LOREAL）复颜视黄醇精粹抗皱日霜 50ml 女士面霜欧莱雅大红罐视黄醇pro淡纹礼物送女友,199.00,欧莱雅京东自营官方旗舰店,50万+
百雀羚面霜 八杯水8杯水倍润精华霜 补水保湿锁水日晚霜滋润保湿霜擦脸油护肤品官网 50g,55.00,百雀羚旗舰店,5万+
大宝SOD蜜蛋白霜胶原蛋白面霜补水保湿擦脸护脸油霜秋冬滋润清爽润肤不油腻老牌国货男女父母学生50g SOD蛋白霜2瓶装（50g*2）,39.00,美芝霖化妆品专营店,1万+
美国CeraVe 适乐肤呵护保湿润肤霜85g (欧莱雅集团 C霜面霜清爽控油修护敏感肌乳液 男女适用),98.00,CeraVe适乐肤京东自营旗舰店,20万+
美国进口 急救美人（First Aid Beauty）FAB面霜急护美人面霜套组两罐装（经典56.7g+葡萄柚56.7g）,155.00,FAB急救美人海外自营旗舰店,2万+
欧莱雅（LOREAL）复颜视黄醇精粹抗皱晚霜 50ml（女士面霜 夜间修护 视黄醇pro淡纹 紧致弹润）,245.00,欧莱雅京东自营官方旗舰店,50万+
兰蔻菁纯面霜60ml臻颜精萃乳霜轻盈版 化妆品护肤品 面霜冬季乳液女滋润紧致抗老保湿抗皱淡纹玻色因 礼盒,2680.00,兰蔻京东自营官方旗舰店,20万+
薇诺娜柔润保湿霜80g（乳液面霜 保湿霜女 补水面霜 敏感肌肤护肤品化妆品）,88.00,薇诺娜WINONA京东自营旗舰店,5万+
玉兰油（OLAY）新生臻粹超红瓶面霜精华乳霜50g 大红瓶面霜女化妆品护肤品提拉紧致淡化细纹【新品上市】,389.00,OLAY玉兰油京东自营旗舰店,100万+
大宝 SOD蜜100ml（乳液男女 面霜 长效补水保湿 多效滋润霜 温和低敏 ）,12.90,大宝京东自营旗舰店,300万+
兰蔻菁纯面霜30ml臻颜精萃乳霜轻盈版 化妆品护肤品 面霜冬季乳液女滋润紧致抗老保湿抗皱淡纹玻色因 礼盒,1380.00,兰蔻京东自营官方旗舰店,20万+
sakose进口日本马油弹润滋养面霜70g(保湿补水滋润马油膏 强力锁水提亮肤色 秋冬润肤霜男女士通用),59.90,sakose京东自营旗舰店,50万+
日本进口AMPLEUR面霜奢宠耀肤嫩肤保湿大红瓶素肌霜小红罐面霜高保湿 面霜50g,289.00,UTHER京东自营旗舰店,500+
丝塔芙Cetaphil保湿润肤乳118ml（进口化妆品护肤品 乳液面霜 护手霜 补水 男女适用 敏感肌适用 ）,42.90,丝塔芙京东自营官方旗舰店,50万+
雪花秀(SULWHASOO) 面霜 滋盈肌本紧致面霜75ml (紧致肌肤 滋润保湿) 韩国进口护肤品,429.00,京东国际美妆官方直营店,100万+
兰蔻塑颜霜50ml塑颜紧致焕白面霜 化妆品套装护肤品亮肤提拉保湿补水祛黄滋润 礼盒 乳液,895.00,兰蔻京东自营官方旗舰店,5万+
珀莱雅 红宝石面霜女50g（滋润型）抗皱淡纹乳液面霜化妆品护肤品套装女 保湿霜补水水乳套装,279.00,珀莱雅京东自营官方旗舰店,5万+
大宝 美容日霜50g（面霜 补水保湿霜 美容霜 补水保湿 淡纹 紧致肌肤 改善肤色 ）,25.50,大宝京东自营旗舰店,20万+
【屈臣氏热卖】男士润肤乳面霜男擦抹脸油保湿滋润不油腻嫩白,59.00,赤野自营旗舰店,20万+
雅诗兰黛多效智妍精华滋养面霜50ml胶原霜滋润款护肤品套装补水保湿滋润提拉紧致化妆品礼盒,850.00,Estee Lauder雅诗兰黛京东自营官方旗舰店,5万+
大宝SOD蜜蛋白霜胶原蛋白面霜补水保湿擦脸护脸油霜秋冬滋润清爽润肤不油腻老牌国货男女父母学生50g SOD蛋白霜1瓶装（50g）,22.80,美芝霖化妆品专营店,1万+
郁美净鲜奶霜110g补水保湿霜乳液面霜,18.90,郁美净香草专卖店,1万+
玉兰油（OLAY）面霜七效多效修护霜日霜保湿抗皱淡纹乳液防晒SPF15 50g*2,120.00,Labella海外官方旗舰店,5000+
法国进口 雅漾(Avene)焕亮活力滋养霜滋润补水提亮保湿面霜50ml,178.00,雅漾（Avene）海外京东自营旗舰店,50万+
强生(Johnson) 儿童牛油果精华润肤霜61.8克 儿童面霜 宝宝面霜 强生婴儿面霜 润肤霜 倍润霜 四季通用,52.00,强生京东自营旗舰店,50万+
片仔癀 珍珠霜25g*3 (补水保湿滋润皇后面霜套装 男女适用),44.00,片仔癀京东自营官方旗舰店,20万+
雅诗兰黛红石榴鲜活亮采面霜日霜50ml抗氧化滋润补水保湿护肤品提亮肤色化妆品礼盒,620.00,Estee Lauder雅诗兰黛京东自营官方旗舰店,5万+
欧莱雅（LOREAL）复颜玻尿酸水光充盈导入乳霜50ml零点霜护肤面霜玻尿酸孚玻因淡纹补水礼物送女友,259.00,欧莱雅京东自营官方旗舰店,100万+
雅诗兰黛多效智妍精华面霜50ml胶原霜乳霜款补水保湿提亮肤色护肤品提拉紧致化妆品礼盒,780.00,Estee Lauder雅诗兰黛京东自营官方旗舰店,5万+
赫恩男士美白面霜护肤品补水保湿霜乳液润肤露擦脸油护脸霜秋冬滋润化妆品男士护肤 美白霜50g,69.00,赫恩化妆品旗舰店,5万+
珀莱雅赋能鲜颜红宝石面霜六胜肽补水保湿紧致抗皱淡纹滋润护肤品面霜礼物送女友 【推荐】滋润版50g,299.00,珀莱雅官方旗舰店,2000+
VCHEL进口日本马油保湿面霜70g (控油补水滋润乳液 提亮肤色细致毛孔舒缓干燥 男女敏感肌适用乳霜秋冬必备),56.00,韦香儿京东自营旗舰店,20万+
玉泽面霜 皮肤屏障修护保湿霜 补水保湿滋润修护舒缓含神经酰胺敏感肌护肤品乳液男女通用 50g,125.00,玉泽旗舰店,2万+
兰蔻水份缘滋润舒缓凝霜50ml 化妆品护肤 面霜女 冬季保湿滋养补水 缓解干燥紧绷泛红 礼盒,595.00,兰蔻京东自营官方旗舰店,50万+
百雀羚面霜女 水嫩倍现保湿精华霜50g(滋肌润颜，改善干燥粗糙肤质)(新老包装随机发货）,86.00,百雀羚京东自营官方旗舰店,100万+
李医生男士保湿霜护肤品补水面霜保湿乳液润肤擦脸油搽脸护脸霜秋冬滋润搓面油男摸脸抹脸化妆品男士护肤,33.90,李医生瀚康源专卖店,10万+
科颜氏（Kiehl's）高保湿面霜125ml角鲨烷滋养保湿补水乳液缓解干燥紧绷泛红面部呵护男女通用化妆品护肤品,580.00,科颜氏Kiehl's京东自营官方旗舰店,10万+
倩碧干皮黄油125ml（有油黄油）滋润型乳液面霜 维稳修护皮脂膜 保湿 水油平衡 化妆品护肤品礼盒,298.00,Clinique倩碧京东自营官方旗舰店,5万+
海蓝之谜（LA MER）精华面霜 经典传奇面霜60ml （补水保湿 滋润修护）护肤礼物,1999.00,京东国际美妆自营跨境免税店,5万+
HR赫莲娜活颜修护舒缓滋养晚霜 50ml礼盒（黑绷带面霜 高浓度玻色因 滋润保湿 护肤品）,3580.00,HR赫莲娜京东自营官方旗舰店,2万+
自然堂凝时小紫瓶熬夜霜50g(面霜保湿霜女 锁水补水保湿滋润改善干躁紧绷提亮淡化干纹细纹 化妆品护肤品),198.00,自然堂京东自营旗舰店,50万+
大宝美容日霜+晚霜 护肤品套装补水保湿男女士面霜 日霜50g+晚霜50g,39.90,大宝旗舰店,5万+
娇兰（Guerlain）御廷兰花卓能焕活面霜传奇滋润紧致贵妇50ml 细嫩光滑紧致滋养保湿,3900.00,娇兰（Guerlain）京东自营官方旗舰店,500+
澳芝曼G&M 澳洲进口绵羊油维E滋润霜250g 嫩肤滋养保湿面霜 润肤霜 身体乳 VE霜 晒后修复,48.00,澳芝曼（G&M）京东自营官方旗舰店,10万+
妮维雅(NIVEA)男士润肤霜75ml（男士乳液面霜 保湿霜 蓝罐男罐）德国进口,35.90,妮维雅男士京东自营官方旗舰店,100万+
雅诗兰黛紧塑焕白胶原霜75ml白胶原面霜提亮肤色紧致提拉护肤品保湿滋润大容量囤货装化妆品礼盒【直播专享】,980.00,Estee Lauder雅诗兰黛京东自营官方旗舰店,5万+
欧莱雅(LOREAL)男士水能1000倍锁水高保湿护肤套装(强润霜*2 赠:水凝露15m'l*2)护肤品男乳液 男士保湿霜,149.00,欧莱雅男士京东自营官方旗舰店,400万+
海蓝之谜（LA MER）精华面霜30ml（补水保湿 滋润修护）传奇面霜送女友 送爱人,1548.00,海蓝之谜（LA MER）京东自营专区,10万+
娇兰（Guerlain）帝皇蜂姿紧致柔润晚霜面霜50ml 改善滋养细纹皱纹,1490.00,娇兰（Guerlain）京东自营官方旗舰店,2万+
珀莱雅 PROYA 水动力面霜50g（水润保湿 温和滋养）补水护肤品化妆品女（两种包装随机发）,72.00,珀莱雅京东自营官方旗舰店,20万+
妮维雅(NIVEA)柔美润肤霜200ml（乳液面霜 身体乳 护肤化妆品）,35.00,妮维雅（NIVEA）京东自营官方旗舰店,20万+
科颜氏（Kiehl's）果冻清爽高保湿霜50ml补水保湿面霜乳液控油清爽不粘腻闷痘面部呵护男女通用化妆品护肤品,315.00,科颜氏Kiehl's京东自营官方旗舰店,2万+
法国雅漾（Avene）恒润肌活保湿凝露50ML(保湿乳液面霜女 滋润补水 深度保湿 皮尔法伯集团 原装进口）,228.00,雅漾京东自营官方旗舰店,20万+
标婷维生素E乳100g(按压式)乳液面霜 保湿补水 滋养肌肤护肤乳 身体乳 护手润肤化妆品 男女通用,15.00,标婷京东自营旗舰店,100万+
娇兰（Guerlain）帝皇蜂姿紧致柔润日霜面霜（轻盈型）50ml 滋养改善细纹皱纹,1300.00,娇兰（Guerlain）京东自营官方旗舰店,2万+
欧莱雅男士水能保湿面霜男保湿补水润肤霜醒肤露水凝露柔肤水乳液护脸霜摸抹搽擦脸油男生秋冬季护肤品套装 强润霜50ml,49.90,欧莱雅美天宸专卖店,2万+
曼秀雷敦男士激活保湿水凝霜50ml 汪顺同款 海洋面霜（男士面霜 保湿润肤乳液 夏季清爽护肤霜）,62.90,曼秀雷敦男士京东自营旗舰店,50万+
大宝 SOD滋润霜50g（面霜男女 补水保湿霜 长效滋润 细致肌肤）,14.90,大宝京东自营旗舰店,100万+
妮维雅(NIVEA)男士润肤霜双支套装 75ml*2（男士乳液面霜 保湿霜 蓝罐男罐）,65.90,妮维雅男士京东自营官方旗舰店,100万+
资生堂 水之印 五合一面霜90g 清爽啫喱凝胶补水保湿凝霜抗初老晚霜乳液温和不刺激护肤品 (金罐-抗皱紧致),139.00,资生堂海外旗舰店,10万+
娇兰（Guerlain）帝皇蜂姿紧致柔润日霜面霜（轻盈型）50ml 滋养改善细纹皱纹,1300.00,娇兰（Guerlain）京东自营官方旗舰店,2万+
悦木之源（Origins）咖啡因面霜50ml水光霜清爽版补水保湿乳液面霜烟酰胺修护焕亮化妆品礼盒,300.00,Origins悦木之源京东自营官方旗舰店,1万+
玉兰油（OLAY）大红瓶空气霜50g面霜（化妆品 护肤品 补水保湿 提拉紧致 淡化细纹焕活胶原力),269.00,OLAY玉兰油京东自营旗舰店,100万+
薇诺娜舒敏保湿特护霜50g护肤套装（敏感肌护肤品乳液面霜保湿霜女舒敏维稳）,268.00,薇诺娜WINONA京东自营旗舰店,50万+
珀莱雅乳液面霜补水保湿秋冬滋润擦脸清爽不油腻学生专用少女男士 50g,65.00,珀莱雅惠涵专卖店,1000+
薇诺娜柔润保湿霜80g面霜男女润肤乳液干燥肌敏感肌护肤品宝宝霜深层补水保湿温和滋润,88.00,薇诺娜官方旗舰店,5万+
雅诗兰黛抗老紧致三件套(小棕瓶精华50ml+樱花原生液200ml+胶原面霜50ml)护肤品化妆品礼盒,2540.00,Estee Lauder雅诗兰黛京东自营官方旗舰店,10万+
片仔癀日夜修护套装皇后珍珠膏珍珠霜 补水保湿霜男女通用面霜-45g,83.00,片仔癀京东自营官方旗舰店,20万+
伊丽莎白雅顿（Elizabeth Arden）复合面霜75ml(补水保湿滋养乳霜面霜21天霜化妆品护肤品),199.00,伊丽莎白雅顿京东自营官方旗舰店,20万+
相宜本草 八倍凝水霜 50g（乳液面霜 护肤化妆品 清爽补水 保湿滋润）,36.00,相宜本草京东自营旗舰店,50万+
HR赫莲娜活颜修护舒缓滋养晚霜 15ml礼盒（黑绷带面霜 高浓度玻色因 紧致修护滋润保湿 护肤品 ）,1380.00,HR赫莲娜京东自营官方旗舰店,2万+
形象美（IMAGES）绵羊油面霜滋润补水润肤霜保湿乳液身体乳擦抹脸油护脸霜男女士学生护肤化妆品,29.00,形象美京东自营旗舰店,20万+
欧珀莱AUPRES 时光锁塑颜紧肤霜（面霜 补水保湿 滋润紧致 提升弹力 改善细纹） “欧珀莱紫绷带” 50g,290.00,欧珀莱官方旗舰店,1000+
欧莱雅(LOREAL)男士水能保湿玻尿酸乳 50ml(男士乳液面霜 持续保湿护肤霜),130.00,欧莱雅男士京东自营官方旗舰店,400万+
珀莱雅紧致肌密修护面霜50g 护肤淡化细纹补水保湿提拉紧致焕颜霜女士,124.00,珀莱雅京东自营官方旗舰店,10万+
玉兰油（OLAY）大红瓶面霜80g女士护肤品补水保湿细致毛孔淡化细纹紧致提拉修护提亮肤色,359.00,OLAY玉兰油京东自营旗舰店,100万+
法国进口娇韵诗CLARINS弹簧霜面霜50ml焕颜弹力晚霜胶原饱满回弹上扬提拉紧致淡化纹路全肤质,625.00,娇韵诗海外京东自营旗舰店,10万+
线下同款美加净面霜 银耳珍珠滋养霜 补水保湿滋润日晚霜雪花膏乳液 国货护肤品男女通用 珍珠霜120g,26.70,美加净旗舰店,5000+
羽西（YUE-SAI）灵芝生机焕活乳霜50ml（面霜 保湿滋润 提亮肤色 改善暗沉）,300.00,羽西京东自营官方旗舰店,1万+
欧莱雅（LOREAL）太空霜安瓶精华面霜50ml补水保湿,339.00,京东国际美妆自营跨境免税店,5万+
芙丽芳丝面霜freeplus男士女保湿补水40g,235.00,芙丽芳丝京东自营官方旗舰店,2万+
意大利进口 伊丽莎白雅顿（Elizabeth Arden）21天显效复合活肤霜乳霜 100ml 角鲨烷补水 滋润保湿 紧致肌肤,169.00,京东国际美妆自营跨境免税店,2万+
多芬(Dove) 男士乳液 补水保湿滋润清爽控油不粘腻 须后护理 130ml 原装进口,138.00,联合利华海外自营旗舰店,2万+
佰草集【红茶】紧致面霜 50g (补水保湿 淡化细纹 提拉轮廓 温和护肤 清爽不搓泥),150.00,佰草集京东自营旗舰店,2万+
SK-II神仙水75ml精华护肤品套装化妆品sk2sk-ii五步体验装礼盒(含面霜15g+清莹露30ml+洗面奶20g+眼霜2.5g),690.00,SK-II京东自营官方旗舰店,100万+
曼秀雷敦男士面霜乳液护肤品（补水保湿霜乳 润肤擦脸霜 ）面部学生化妆品,74.90,曼秀雷敦男士京东自营旗舰店,50万+
欧珀莱 （AUPRES）时光锁塑颜紧肤霜50g （面霜 补水保湿 滋润紧致 提升弹力 改善细纹）,280.00,欧珀莱京东自营官方旗舰店,5万+
薇诺娜柔润保湿霜150g（乳液面霜补水保湿滋润男女修护敏感肌改善敏感泛红起皮）,168.00,薇诺娜WINONA京东自营旗舰店,5万+
曼秀雷敦男士Q10弹力面霜50ml 擦脸油 （滋润保湿乳液 补水控油清爽护肤品）,74.90,曼秀雷敦男士京东自营旗舰店,20万+
雪肌精SEKKISEI 多效菁华凝霜 80g 面霜 精华霜 （清爽补水 深层修复）,280.00,雪肌精京东自营官方旗舰店,10万+
润百颜玻尿酸屏障调理面霜60g CB2大白瓶 富含神经酰胺 调节肌肤屏障 深层呵护女（新老包装随机发货）,379.00,润百颜京东自营旗舰店,1万+
大宝 男士深透活肤霜50g（男士护肤品 面霜男 补水保湿 锁水控油平衡 男士润肤 ）,46.90,大宝京东自营旗舰店,20万+
欧莱雅零点霜 孚玻因紧致因子 呵护熬夜肌 保湿面霜 50 ml,259.00,欧莱雅官方旗舰店,2万+
玉兰油(OLAY)大红瓶面霜50g护肤品套装 护肤礼盒(内含大红瓶面霜14g*2)补水保湿淡化细纹提拉紧致,269.00,OLAY玉兰油京东自营旗舰店,50万+
相宜本草 男士乳液120g*2（男士乳液 面霜 护肤化妆品 保湿清爽 控油补水 护脸润肤霜）,65.00,相宜本草京东自营旗舰店,50万+
资生堂 水之印 五合一面霜90g 清爽啫喱凝胶补水保湿凝霜抗初老晚霜乳液温和不刺激护肤品 (红罐-高保湿),129.00,资生堂海外旗舰店,10万+
自然堂（CHANDO）男士喜马拉雅冰川滋润霜50g（深层保湿 滋润舒适）,99.00,自然堂京东自营旗舰店,20万+
倩碧干皮黄油200ml（有油黄油）滋润型乳液面霜 维稳修护皮脂膜 水油平衡 化妆品护肤品礼盒,340.00,Clinique倩碧京东自营官方旗舰店,2000+
玉兰油OLAY大红瓶面霜新生塑颜金纯面霜女抗皱滋润修护面霜 日霜50g+晚霜50g,169.00,Durrell海外旗舰店,5000+
自然堂（CHANDO）男士冰川滋润霜50g 乳液面霜护肤品（清爽补水保湿控油滋润不粘腻） 滋润霜,62.00,自然堂官方旗舰店,1万+
欧莱雅(LOREAL)男士8重功效玻色因抗倦容护肤双支装(醒肤露*2 赠:洁面50ml*2 )乳液,218.00,欧莱雅男士京东自营官方旗舰店,300万+
科颜氏（Kiehl's）多重紧致修颜霜50ml紫玻A面霜淡化细纹颈纹干纹男女通用提拉紧致抗皱改善暗沉化妆品护肤品,620.00,科颜氏Kiehl's京东自营官方旗舰店,2万+
玉兰油（OLAY)超A淡纹面霜50gA醇ProX乳液女士护肤品化妆品补水保湿抗皱淡纹提拉紧致轻盈水润易吸收,309.00,OLAY玉兰油京东自营旗舰店,100万+
兰蔻极光面霜50ml净澈焕肤霜 化妆品护肤品面霜冬季乳液女 补水亮肤祛黄锁水保湿滋润 礼盒,740.00,兰蔻京东自营官方旗舰店,10万+
兰蔻菁纯面霜60ml臻颜精萃乳霜轻盈版 化妆品护肤品 面霜冬季乳液女滋润紧致抗老保湿抗皱淡纹玻色因 礼盒,2680.00,兰蔻京东自营官方旗舰店,20万+
雅诗兰黛抗老紧致三件套(小棕瓶精华50ml+樱花原生液200ml+胶原面霜50ml)护肤品化妆品礼盒,2540.00,Estee Lauder雅诗兰黛京东自营官方旗舰店,10万+
资生堂 泊美鲜纯珍萃保湿面霜 50g（控油补水 滋润亮肤）,109.00,泊美（Pure&Mild）京东自营旗舰店,10万+
温碧泉面霜女 补水滋润 水沁润嘭弹霜50g（保湿面霜补水紧致滋润）男女适用,45.00,温碧泉京东自营旗舰店,10万+
玉兰油（OLAY）桃花霜50g 保湿滋润乳液面霜抗糖抗氧抗光老女【新品上市】,269.00,OLAY玉兰油京东自营旗舰店,2万+
【销量3万+】玉兰油（OLAY）面霜七效多效修护霜滋润霜 保湿抗皱淡纹乳液防晒SPF15海外版 修护霜50g*2,120.00,Durrell海外旗舰店,2万+
妮维雅(NIVEA)男士润肤霜150ml（男士乳液面霜 保湿霜 蓝罐男罐）德国进口,65.90,妮维雅男士京东自营官方旗舰店,100万+
大宝sod蜜100ml200ml滋养手60g霜多规格 保湿补水面霜润肤霜身体乳男女士通用 SOD蜜100ml,12.90,大宝旗舰店,10万+
欧莱雅（LOREAL）复颜玻尿酸水光充盈导入乳霜50ml零点霜护肤面霜玻尿酸孚玻因淡纹补水礼物送女友,259.00,欧莱雅京东自营官方旗舰店,100万+
科颜氏（Kiehl's）高保湿面霜50ml角鲨烷补水保湿乳液舒缓滋润干皮挚爱男女通用化妆品护肤品（直播专属）,315.00,科颜氏Kiehl's京东自营官方旗舰店,2万+
欧珀莱 AUPRES 塑颜紧肤霜50g（面霜 补水保湿 滋润紧致 提升弹力 改善细纹）,140.00,欧珀莱京东自营官方旗舰店,2万+
资生堂百优全新精纯乳霜50ml（补水 保湿 改善细纹 百优面霜 护肤品 ） 生日礼物送女友 送老婆,820.00,资生堂京东自营专区,10万+
馥蕾诗（Fresh）睡莲青春赋活面霜50ml（礼盒装 高保湿面霜 改善暗沉） 送女友,499.00,馥蕾诗（Fresh）京东自营专区,5000+
启初面霜 宝宝霜儿童霜 儿童婴儿面霜 清爽补水滋润保湿 婴儿水润保湿40g 植物之初,38.00,启初京东自营旗舰店,100万+
The Ordinary10%杜鹃花酸壬二酸面霜 祛痘 淡化痘印 改善痘肌 提亮肤色 30ml 男女士适用,169.00,The Ordinary海外京东自营旗舰店,50万+
丁家宜面霜美白保湿霜补水保湿提亮肤色润肤精华露霜乳面霜男女50g,59.90,丁家宜（TJOY）京东自营旗舰店,20万+
雅诗兰黛鲜活亮采红石榴面霜晚霜50ml抗氧化补水保湿护肤品提亮肤色化妆品礼盒,650.00,Estee Lauder雅诗兰黛京东自营官方旗舰店,5万+
露得清A醇晚霜抗皱修护淡化细纹面霜40g 视黄醇紧致抗皱补水保湿维a精华女,99.90,露得清海外京东自营旗舰店,10万+
郁美净 鲜奶霜110g*2 乳液面霜 保湿补水 滋润肌肤,39.80,郁美净京东自营旗舰店,20万+
雪花秀滋盈生人参焕颜高保湿滋养修护面霜60ml(补水缓解干燥提拉紧致提亮肤色淡化细纹),1680.00,雪花秀京东自营官方旗舰店,5万+
丝塔芙Cetaphil舒润保湿霜250g（乳液 面霜 秋冬 身体乳 “宝宝树”推荐 敏感肌适用）,79.00,丝塔芙京东自营官方旗舰店,100万+
佰草集【肌本清源】乳液面霜 菁华霜 50g (补水保湿 改善暗沉 修护肌肤 控油护肤),110.00,佰草集京东自营旗舰店,20万+
欧洲进口 妮维雅(NIVEA)大白碗呵护面霜100ml/罐 高保湿霜润肤霜护手霜,55.00,妮维雅（NIVEA）海外京东自营旗舰店,5万+
EVM 寡肽紧致赋弹精华面霜（滋润型）50g淡化细纹皱纹滋润肌肤小银罐抗皱,179.00,evm京东自营官方旗舰店,2万+
露得清 维A醇抗皱修护晚霜29ml视黄醇面霜（3.0版）（紧致毛孔 淡化细纹 减少暗沉 整夜滋润修护）,229.00,露得清京东自营旗舰店,10万+
资生堂 泊美鲜纯珍萃保湿面霜 50g（控油补水 滋润亮肤）,109.00,泊美（Pure&Mild）京东自营旗舰店,10万+
HABA 面霜女 水润赋活精华霜50g 清爽保湿面霜 护肤 化妆品 补水保湿面霜 角鲨烷 敏感肌适用,348.00,HABA京东自营旗舰店,20万+
雅漾Avene焕亮活力滋养霜深度滋润补水提亮敏感肌保湿面霜50ml滋润型,178.00,雅漾（Avene）海外京东自营旗舰店,50万+
丁家宜（TJOY）面霜劲爽控油滋润保湿补水润肤霜男50g（补水滋润控油擦脸油保湿精华润肤乳露 男士护肤,79.00,丁家宜（TJOY）京东自营旗舰店,20万+
