time,order,start,commit
2021-07-30 23:42,【水乳套装】大红瓶水乳5件套,comment-star star5,套盒收到了，买给老婆的，他很喜欢，还送了几个小样，和4片面膜，之前买了新生塑颜系列的洗面奶，感觉很好用，马上又拍了这个系列的水乳套盒，成份都有烟酰胺，能减少淡化皱纹、刚刚试用了一下感觉很水润，用完在回购，一如既往的信赖京东自营
2017-11-13 09:07,至臻愈颜紧致全能礼盒,comment-star star5,第一次购买olay，24件，赠品超多，项链也不错，水比较清爽，拍在脸上吸收很快，味道清淡，相比粉水来说，这个更容易吸收，走珠笔用着眼部滑滑的，比较润，为嘛我赶紧那珠子不在滚动?，基底液吸收超快啊，一定买个正装来用用，面霜味道相对比较重，味道清淡一点就更好了，其他还没用，期待后期使用效果，最后评价一下京东物流：超快！
2021-04-24 11:30,【滋润补水】大红水250ml,comment-star star5,最近买了好多玉兰油产品，主要是大红瓶一系列，以前没用过，没想到这次用了效果很好，皮肤细腻好多，肤色也好看，这次专门买了大红水，配合大红瓶使用，效果更出色。
2019-11-30 10:43,大红瓶面霜50g（提拉紧致）,comment-star star5,这款玉兰油属于基础性的养护装，官方宣传的功能具有减少细纹皱纹，使肌肤提升弹性，紧致面部轮廓滋润皮肤的功能，实际使用过程中，皮肤会感觉比较水润，具备一定的保湿功能，并且会淡化一定的皱纹，好像还有一定的美白的功效，使用过程中没有异味，气味比较清新，不油腻，很清爽。
2020-06-18 09:46,大红瓶面霜50g,comment-star star5,玉兰油的大红瓶多次回购了，每逢双十一或是六一八商家做活动时，都会购买够半年的量。每次活动，优惠力度都很大，商家送的赠品也特别多，一般买两瓶，加上赠品足够用半年了。大红瓶对我来说，效果还是不错的，细纹明显减少，脸上的斑点也越来越淡，痘印也减轻。特别喜欢大红瓶的质地，细腻清爽，容易推开，吸收也特别好。会一直回购！
 , ,comment-star star3,还可以，比专柜优惠很多
2021-06-22 06:18,【滋润补水】大红水250ml,comment-star star5,618活动买的，简直不要太划算?买一瓶250ml，还送了四小瓶试用的，有200ml呢。??这个我打开试用的用了，特别的好用，吸收的特别的快。用了几天，感觉皮肤好了很多呢。特别的好用。这一套够我用好久了
2021-08-07 09:53,【七夕限定礼盒】大红瓶15件套,comment-star star5,这款是礼品盒包装，精致、厚实、挺括。大小共15件，送了一个小样，精华乳。玉兰油紧致系列不仅颜值高，感觉确实好用。不油不腻，补水很好，冬天用脸不干，夏天用不油腻。已经用了近10年了，还没有想过要换。
2021-03-02 12:23,大红瓶面霜50g,comment-star star5,玉兰油大红瓶，很早就听说了。这次活动价格优惠，赠品很多，果断下手，拿到手里很惊艳，包装很精致，手感很好，在手上试了一下，感觉很滋润，性价比很高，使用后再追评
2021-03-27 09:51,大红瓶面霜80g,comment-star star5,这一套是情人节的时候送给老婆的。老婆在使用过程中说，皮肤会感觉比较水润，具备一定的保湿功能，并且会淡化一定的皱纹，好像还有一定的美白的功效，使用过程中没有异味，气味比较清新，不油腻，很清爽。老婆很满意。一如既往的支持京东商城。
2019-12-17 15:50,新生塑颜空气感凝霜,comment-star star5,对于女生而言 25就是一个分水岭 25岁之后 要开始注意抗衰老 用一些抗衰老的护肤品了 听朋友介绍的 所有双十二的时候 选择了Olay的这套水乳霜 现在是冬天 本人属于混合偏油性 皮肤 现在用着 感觉刚刚好呀 给自己的肌肤补补水呀 京东的物流真的是没话说哦 速度快 东西又很正 我会回购的哦 哈哈哈哈哈
,【新年礼遇】大红瓶面霜50g,comment-star star5,面霜已经用了 保湿效果不错 擦着不油 也没有过敏 轻微有点刺痛 因为我是干皮肤原因 活动时候买的价格很合适 还赠这么多小瓶 用olay好几年了 眼霜 精华都是他家的 真心不错 满意满意
2021-06-05 11:23,【滋润面霜】大红瓶面霜80g,comment-star star5,用这款产品好多年了，擦脸上湿和不刺激，一点也不油，非常好吸收，这次做活动一次买了两套，够用很长时间了，关键是它的价格比较亲民！还会再回购的
2021-06-30 14:52,新生洁面乳125g,comment-star star5,好大一瓶，每次用挤一点点就能洗很干净了，还有一点淡淡的香味，用的不错，深层护理，滋养皮肤，用完皮肤很舒服，一点都不紧绷，和玉兰油其他系列化妆品一起用，效果更好，用了好几年了，感觉还不错，下次还会继续购买的。
2021-04-09 13:12,【滋润补水】大红水250ml,comment-star star5,这款olay新生塑颜金纯活能水无论是从肤感还是从味道，还是从吸收度来说都特别好！产品质感：很亲肤，很柔和。适合肤质：我的肤质比较干，有细纹，我用了两天的试用装，用在脸上很舒服，也很容易吸收！产品香味：很清香，我很喜欢这个味道
2019-07-25 01:16,紧致礼盒15件套,comment-star star5,这一套6.18买的真的超级划算、今天全部打开来一挨个使用了一下、洗面奶打开有一股花香、洗完脸皮肤不紧绷滑滑的、面膜是无纺布的很多精华液黏稠的、用完后脸水水嫩嫩的、那个水打开淡淡的芦荟清香、很清薄不油腻、走珠精华笔用起来很方便按摩眼睛的同时也淡化了眼角细纹、眼精华是闪闪的涂抹完感觉黑眼圈眼袋细纹明显看不出来了、还有最后那个霜抹完不像其他的产品油腻感浓厚、这个完全不油腻感觉很细腻那种把前面所有使用过的护肤产品都牢牢锁在皮肤里面了，看上去皮肤透亮水润还光泽...一直信赖京东、这又是一次满意的购物！??
2020-06-20 06:15,大红水250ml,comment-star star5,这个由非常好用，下次还会再来购买，经常使用非常不错，虽然有一些贵，但是很好用的很顺手很不错，如果有喜欢的朋友可以购买，而且大家购买一直在京东自营购物京东的物流快售后服务态度好物流咋没经济实惠，很满意的一次，购物体验618的活动也非常实惠，放假大家购买，如果有喜欢的朋友可以买得试一试，效果很不错很满意。
2021-07-24 11:22,【滋润补水】大红水250ml,comment-star star5,玉兰油大红水，配合大红瓶使用，效果不错，使用后滋润不刺激，吸收快，皮肤细腻光滑，肤色好看，气味清香，物流也很快，下次还会再买
2021-03-18 12:58,大红瓶面霜50g,comment-star star5,非常喜欢这个牌子 普通老百姓 太贵的买不起 这个价格适合我 而且质量嗨特别好 保湿效果很长久 本人干的皮肤 吸收的很好 控油效果强 一天脸上都不出油 品质保证
2021-05-27 10:03,【滋润补水】大红水250ml,comment-star star5,一直用的玉兰油的产品，上次买的100mI的用完了，这次特意买的250mI的，使用后滋润不刺激，不油不腻，非常滋润，效果很明显，细纹减少，细腻柔软光滑，吸收也特别好。产品香味很清香，物流也快，后期会继续购买
2020-03-20 14:57,大红瓶面霜50g,comment-star star5,保湿效果：第三次购买大红瓶套装了，北方天气干燥，风大，我的皮肤是混合型油性皮肤，还容易过敏，抹上去脸上滑滑的，不起皮儿了，感觉的非常舒服，脸上保湿锁水一整天，京东物流很快，都是隔日送达，以后还会继续光顾京东自营旗舰店！
2021-03-19 17:36,大红瓶空气霜50g,comment-star star5,空气霜大红瓶我是要非常强烈的强烈的推荐。这个真的是太好，太好用了。好多男生女生用了护肤霜以后你上一天班，然后脸上油光锃亮的。看起来特别难看。护肤的技巧就是你护完肤，别人还看不出来你做了护肤看起来很好看。很自然。现在绝大部分的护肤品你用完了以后脸上都有油光。空气霜用了以后别人完全看不出来你做了护肤。就是哑光的脸上一点油光也没有，最关键是皮肤很舒服。绝大部分护肤品要不然就是油光，要不就是很干，很难受。这个用了很舒服，别人也看不出来你化了妆。强烈推荐。
2021-03-08 21:22,大红瓶面霜50g,comment-star star5,很好用，家里人很喜欢，用起来个很舒服，没有异味，很润，很滑，很好用，特别的屎人，特别的好用。款式也特别的心。生产日期也特别的心。味道特别的好。很喜欢。很棒！运送速度十分的快。早上买的，下午的时候就到了。配送小哥配送的速度特别快。很棒！
2021-08-17 22:35,【滋润面霜】大红瓶面霜80g,comment-star star5,这款面霜挺滋润的，我用着还可以吧，可能夏天稍微有点点油，冬天用它绝对没错，特别滋润，准备今年冬天就用这个了，之前用的光感面霜，也还不错，适合夏天用，很清爽，这个大红瓶很好，会回购的
2021-10-28 23:40,【双11预售】大红瓶空气霜50g,comment-star star5,玉兰油这款空气霜从上市开始就一直在用了，清新的味道，冰激淋质地的霜，抹在脸上吸收很快，很清爽，不会油腻腻的，特别舒服，趁着搞活动，果断又入手一大瓶，赠送了3个小瓶，太划算啦！
2021-11-04 23:20,【明星洁面】新生洁面乳125g,comment-star star5,11.11搞活动很划算，之前买的贵了很多，洗脸后感觉非常清爽滑滑的，不错，接着买接着用它！虽然不是很多泡泡，但是感觉还是洗的挺干净的！
2019-12-15 03:46,大红瓶+活能水,comment-star star5,一直信赖玉兰油大品牌，已经使用玉兰油系列产品很多年了，特别是大红瓶系列。这个套装包括正装大红瓶、大红水和两片面膜，还送小样四件套和面霜小样，双十一做活动赠品多价格实惠，抓紧囤了两套，给母亲用也非常合适。冬天了更合适用普通大红瓶，非常滋润，搭配大红水效果很好。
2015-08-27 16:07,新生弹力眼霜,comment-star star3,这个价格整体还可以吧
2021-07-01 22:47,【轻盈面霜】大红瓶空气霜50g,comment-star star5,保湿效果：很不错，比较保湿吸收程度：好涂抹，容易吸收，吸收快控油效果：本人油性皮肤用着很好，棒棒哒产品质地：比另一款大红瓶比起来较透明，膏状细腻，淡淡的香味适合肤质：油性皮肤可以选其他效果：美白，细腻皮肤
2021-03-28 11:39,大红瓶15件套,comment-star star5,已经第二次购买了，重要的节日再次送给重要的家人，母亲的年轻时操劳，没有用到呵护的温暖，愿这份情始终相伴。多年的品牌，很好的效果，第一次买了后用完，让我再买一套，感觉很好，保湿好，香味不刺激。点赞
2021-07-30 00:33,【滋润面霜】大红瓶面霜80g,comment-star star5,容量80克比50克高一点点，包装完整，赠品多，材质很好，质量也不错，到货也很快
2021-06-05 11:28,【滋润面霜】大红瓶面霜50g,comment-star star5,一次买了好多，这款护肤产品非常好用，温和不刺激，关键它适用于每种皮肤，用了好多年了，一直信赖的大品牌！
2020-06-09 22:21,大红瓶空气霜,comment-star star5,保湿的效果特别好，用完感觉水润润得很舒服。皮肤也变得更好了。女人护肤就要在年轻得时候开始，不然追悔莫及哦。以前老妈就老说olay的牌子好用，我也学着用了起来，确实不错。皮肤吸收得好。人也变得漂亮。更加自信了。一直信赖olay，信赖京东
2021-11-09 10:28,【重磅新品】超红瓶面霜50g,comment-star star5,保湿效果：保湿程度很好，秋冬季用着很舒服，脸部不会爆皮吸收程度：吸收很快，并不油腻产品质地：比较轻薄的乳霜质地。特别细腻适合肤质：各种皮肤都合适，尤其适合抗初老其他效果：气味清香，淡雅，很高级的香味儿。
2021-11-13 13:54,【重磅新品】超红瓶面霜50g,comment-star star5,发货速度很快，物流速度也快，买给老婆的，老婆很喜欢，还送了很多小样，真的超划算，很满意，用完还会回购产品质地：质地很好吸收吸收程度：很好吸收不油腻控油效果：一点都不油
2020-11-21 15:02,大红瓶空气霜50g,comment-star star5,我是油皮，自从使用了这个空气霜之后，再也没有用到其他的面霜了，皮肤吸收特别快，而且表面很清爽，一点都不油腻。趁有活动的时候一下囤了三瓶，可以用挺久的。价格也非常的实惠。
2020-06-11 16:11,大红水250ml,comment-star star5,玉兰油新生素颜系列大红水特别好用，滋润不刺激，不油不腻，寒冷的冬天用脸也不会觉得干燥，紧绷，非常滋润。能有效的减少皱纹细纹，彰显肌肤的年前，是肌肤看起来年前，充盈饱满。同时还送了10片玉兰油新生塑颜修纹弹力面膜，面膜所含精华特别充足，更能有效的滋养保护肌肤，大爱。
2021-11-12 09:20,【热卖套装】大红瓶护肤15件套,comment-star star5,玉兰，玉兰油化妆品质量很好，对皮肤非常的滋润，用着很很好，很水润，滋润皮肤很好中，而且对皮肤也美白，品牌化妆品，使用起来就是放心
2017-06-17 19:03,生焕活深彻洁面乳,comment-star star5,超级好用的氨基酸洁面，味道好好闻哦，新包装今年刚出的，还没试呢，香味类似于栀子花和玫瑰花混合的味道。为什么新包装这么大啊，好长一管，以前是塑料瓶身，现在换成铝瓶身了，看起来很高级的样子，但是不如以前旧版简洁好看，好香好香好香啊
2021-06-14 10:13,【轻盈面霜】大红瓶空气霜50g,comment-star star5,618买真的挺好的，划算，可以用很久很久了，晚上我是用手心搓好按摩脸，然后再涂一层厚厚的在脸颊，不油腻，而且第二天感觉皮肤挺好的，再来说说包装吧，还好的京东快递很快。
2021-10-06 09:28,【滋润面霜】大红瓶面霜80g,comment-star star5,一直用大红瓶，效果杠杠的，这款增加了量，还送了2张面膜，4瓶小样，好划算。用了大红瓶，脸上肌肤柔润滋润，光滑细腻，小皱纹也看不见了，脸色红润，光亮，美美哒，好好评！！！保湿效果：水润光滑吸收程度：吸收效果太好控油效果：不油，任何肤质皆宜产品质地：细腻，香气宜人适合肤质：任何肤质其他效果：都好
2021-11-19 19:11,【重磅新品】超红瓶面霜50g,comment-star star5,首先要说京东送货速度那是杠杠的，双十一活动买的很划算，乘活动多囤点，又送了好多小样，够用一阵子，面霜吸收效果也很好，用了很滋润。
2020-06-19 20:56,大红瓶15件套礼盒,comment-star star5,已经第二次购买玉兰油了，非常好用，下次还会再来购买的老婆，用着很舒服很好用就是稍微有点贵，但是物有所值很不错的一次购物体验，一直在京东购物京东的物流快售后服务态度好很不错，如果有喜欢的朋友可以购买，这是一次很满意的一次购物体验推荐大家购买。
,【元旦礼遇】大红瓶面霜50g,comment-star star5,大红瓶，之前用过一盒，保湿效果挺好，真的春泥啊，用手涂隔离根本没法出门，脸上涂不匀，晚上做保湿很不错，遇上双十一算上赠品价格很优惠的控油效果：我用着感觉不错，性价比很高，一晚上脸也不干，也不油
2021-09-25 18:38,【网红爆款】大红瓶15件套,comment-star star5,产品包装：包装非常精美，很喜欢！吸收效果：刚买来还没开始用，用后过来追评适合肤质：产品表示适合任何肤质产品刚买来，用了一些小样，第一次用，还不知道效果如何，等用过之后来追评！
2021-09-26 08:25,【水乳套装】大红瓶水乳5件套,comment-star star5,水质清爽不油腻 很快就被皮肤吸收。 这个乳液也很水润。还送了很多小样 推荐使用吸收效果：好
2021-05-08 18:27,新生洁面乳125g,comment-star star5,听同事说这玉米油深层洁面乳很好用，洗脸很干净，这次果断下手买了两瓶，还有赠品，挺划算的。一瓶很大，可以用一年。洗完脸不紧绷，干净清爽，确实是大品牌，现在所有护肤品都用玉兰油。
2015-08-07 17:27,新生面霜（大红瓶）,comment-star star3,物美建立 唯美简介让他
2021-07-02 14:00,【滋润面霜】大红瓶面霜80g,comment-star star5,非常好，多次购买了，这个霜还是非常不错的，用过几瓶了，比较滋润，又不油腻，吸收很快，六一八的活动也很划算，赠品比较多，适合囤货留着慢慢用，送货速度也很快。推荐购买
2021-11-13 03:34,【重磅新品】超红瓶面霜50g,comment-star star5,物流超级快凌晨下的单，晚上就收到了！有淡淡的香味，很好闻，膏体白色的，抹上去吸收挺快的，不油腻，触感很舒服！赠品超级多啊！！！！很实惠！
2020-08-31 12:41,眼霜15ml,comment-star star5,本人多次购买玉兰油眼霜（长期使用），真的很好用，特别是涂在眼角周围亮闪闪的，心情舒畅（愉快）。有人说：“女人必须用眼霜，淡化皱纹，这样显年轻、有神、活力十足”，所以这钱必须花，呵呵………购买眼霜渠道必须正规，这样质量有保障，使用安心。
2021-02-01 19:42,眼霜15ml,comment-star star5,很快收到，外包装完好。买的15ml装眼霜，外面包有一层透明膜显得粗糙，不够精细，玉兰油所以产品均有此现象，小小作坊的感觉，不知道为什么。不过内盒包装以及盒上印刷皆正常，应该是正品。该品牌一直是我老婆喜欢的用了多年了。另外还搭配了14g面霜，瓶子矮粗配镜面银色盖子看起来更大气；活能水18ml，红色透明瓶子，看起来也不错；还有一张面膜以及一管7ml肌底液。非常划算，老婆开心，我很满意。
2021-11-11 23:56,【滋润面霜】大红瓶面霜50g,comment-star star5,刚收到宝贝，来不及体验一下，由于秋季洁面完后比较干燥保湿效果：非常好吸收程度：润而不腻控油效果：清爽不油腻产品质地：细腻入微适合肤质：中．干性皮肤
2019-04-23 13:26,活能水250ml（水润保湿）,comment-star star5,又快又方便!给我们的生活带来太多便利了，打开手机，轻轻东西指头，把想要的东西一搜马上就出来，然后下单支付，在家坐等收货就行!除了下单方便，不管是发货速度和打包质量，还是商品质量，都是无可挑剔，必须32个赞! !
2019-11-03 10:56,大红瓶面霜50g（提拉紧致）,comment-star star5,京东物流超快的，olay大红瓶，种草了很久的一款面霜，28岁的熟龄肌了，有红血丝，干皮，有小细纹了。马上就要奔三的年龄，需要一款适合的抗老产品，这款面霜能有效减少细纹，水润肌肤，提升弹性，含有第二代氨基酸肽复合物，11.1付款的，还有5个14毫升的小瓶，加一起比正装还多，太划算了，olay你值得拥有
2020-03-19 16:02,大红瓶面霜50g,comment-star star5,两年多来一直用olay的面霜，冰淇淋质地，保湿效果很好，我是干皮感觉不油腻，油皮建议试试空气霜，我用没有搓泥的现象，早晚一次皮肤很保湿，很舒服。这次活动力度大，一次入了两瓶，送了八个小瓶，相当于两个正装，太划算了。
2021-10-27 14:56,【现货即达】新生洁面乳125g,comment-star star5,大品牌，用了很多年了，包装颜色漂亮，洗面奶用起不油腻，很温和，不刺激皮肤，洗完脸后很清爽，滑滑的，不紧绷，味道很好，很舒服的，不知道怎么的，用这洗面奶后脸上斑都没有了…
2021-06-29 11:18,【滋润补水】大红水250ml,comment-star star5,很好的一款护肤水，易吸收，不粘腻，保湿效果好，等了好久，赶上大促买了眼霜，气垫霜，都很好用，吸收效果好，过了三十要开始保养自己啦，就用这套护肤品保护皮肤吧
2020-06-04 21:11,大红瓶15件套礼盒,comment-star star5,终于收到快递了，第一时间就打开，包装很完整，密封的，里面的东西大大小小15件，可以用很长一段时间了呢！我是属于回购了，之前用着感觉很好，洗面奶很温和，洗完脸还有一种淡淡的清香，很好闻(?▽?)水乳霜都很好(?▽?)特别是霜，很保湿，也是一种淡雅的清香，让人感觉神清气爽，一点都不会油腻。我是属于偏油性皮肤，用这个套装没有觉得油，适合自己的就是最好的，值得购买，强力推荐，平价亲民(●?∀?●)。
2020-10-15 11:16,大红瓶空气霜50g,comment-star star5,保湿效果：用完皮肤没有干干的感觉，很滋润。吸收程度：轻拍就可以了，很容易吸收。控油效果：我是干皮，不会有油腻感。其他效果：趁着活动入手了空气霜和小红瓶，赠品很多，感觉够用一阵子了，期待使用效果，非常划算。搭配美白面膜一起，感觉明显皮肤会细腻滋润不少啊。
2019-03-03 21:56,新生塑颜空气感凝霜,comment-star star5,这款打开后，一股清香，不齁甜，触感很丝滑，容易推开，最重要的是清爽不油腻吸收很快。空气霜的成分表中可以看出，核心成分烟酰胺依然是排位很前，长豆角、泛醇和五肽也是有的，这四个黄金成分已经保证了这款面霜的保湿和抗皱功力。但是可以看到橄榄提取、维生素E和透明质酸钠的成分被弱化了（橄榄提取、维E取消了，透明质酸钠排位靠后了很多）橄榄提取是大红瓶一个非常重要的成分，它可以有很强的保湿和抗氧化的作用，但是由于成分本身比较油腻，所以在这款面霜里面被取消掉了。取而代之放在前面的变成了很多硅油成分代替油脂类成分，所以肤感非常清爽。所以说这款面霜还是适合年轻肤质多一点，但是基本的美白抗初老需求，这款新品面霜还是可以很好的做到的。另外这款面霜也没有放二氧化钛了，也是一件好事情，起码没有涂上去之后假白的感觉。
2021-09-15 18:47,【滋润补水】大红水250ml,comment-star star5,种草好几年啦，产品质感：这款大红水是那种清清爽爽的质感，水状的不粘腻，涂在脸上超级好吸收，。适合肤质：它是补水保湿紧致的功效，我是混油皮感觉挺适合我的，所以油皮和干皮都蛮适合用的。产品香味：是那种淡淡的清香，一点都没有酒精的味道，非常好闻的那种香味，本人超级喜欢这个味道。使用效果：已经三十五岁了，大红瓶含有抗衰老成分补水的同时也可以紧致皮肤，搭配大红瓶乳、霜、面膜效果会更好，不过小白瓶也一直在用，玉兰油的护肤品都停适合我的。
2021-07-26 10:54,【明星套装】大红瓶护肤15件套,comment-star star5,产品包装：包装挺精致漂亮的 吸收效果：效果错，吸收挺快的，一点都不油啊 保湿程度：保湿效果蛮好的，感觉润润的很舒服丝毫不紧绷！ 适合肤质：干性皮肤，用起来效果真心不错！ 买来送给老婆的，套装款的宝贝挺全面的，收到后老婆表示很喜欢，她说效果挺好的。
2021-06-20 18:11,【轻盈面霜】大红瓶空气霜50g,comment-star star5,玉兰油（OLAY）大红瓶空气霜很好用，这是用的第二瓶了，补水保湿不油腻，非常清爽，感觉里面真的有空气一样，自己是油性皮肤，用后出油皮肤有明显改善，特别适合在夏天使用，50g的容量，能用很长时间，同时它有提拉紧致淡化细纹的功效，还送了好多小样，会持续使用，真心的好评。
2021-10-10 20:32,【补水控油】新生洁面乳125g,comment-star star5,这个牌子的洗面奶已经是第二次回购了，感觉洗完脸不绷紧，又舒服。很大的份量能用很久爱了爱了。
2021-08-25 11:46,【补水控油】新生洁面乳125g,comment-star star5,快递比较给力。这款洗面奶是氨基酸洗面奶比较温和，不刺激，每天早晚都用也不会有刺痛感，真的非常好，对皮肤没有刺激，而且洗完后脸上感觉非常丝滑
2021-07-16 14:23,【滋润面霜】大红瓶面霜50g,comment-star star5,多年以来，一直反复回购的品牌，擦在脸上滋润不油腻，很快就被皮肤吸收了，脸上特别的舒服。细纹明显的少了，皮肤也紧致了不少，大品牌值得信赖
2019-11-23 12:32,大红瓶+活能水,comment-star star5,这个套装实在是太实惠了，水加上面霜正是个人要补充的。使用几天后来评价的，OLAY的味道非常好闻，无论是爽肤水还是面霜，都有一股淡淡的幽香，刚刚好不会太浓郁。面霜份量非常足，足够用半年了，并且很水润，个人觉得还是比较好推开的，晚上用冬天用非常的合适，个人强烈推荐。
2021-11-22 11:49,【重磅新品】超红瓶面霜50g,comment-star star5,快递到的非常快，虽然是双十一。保湿效果：保湿很好，看了小红书买的，买来用下。吸收程度：吸收不错控油效果：睡一晚上T区不会出油，效果好产品质地：很容易推开，不会不吸收
2020-06-08 22:17,大红瓶空气霜,comment-star star5,保湿效果：好，一直都用吸收程度：雾状，合适夏天，用控油效果：很好，和大红瓶一样，这个更清爽产品质地：说不上来，有一点像啫喱 有一点柔柔的，很好用适合肤质：油皮，干皮，都行其他效果：一直用玉兰油，好久了，80后的回忆，记忆中的大牌，自己用，送人都好，有活动多买一些，挺好的，送货快
2019-11-12 22:23,大红瓶+活能水,comment-star star5,"质量非常好,与描述的完全一致, 生产厂商，执行标准等信息齐全，Olay新生塑颜系列产品利用肌肤激活科技，提升肌肤抗衰老机能。与身体的新陈代谢相似，皮肤表层细胞的能量也会随着年龄的增长而减少，这使得表层细胞接受抗衰老成分的能力越来越低。真的很喜欢,完全超出期望值,发货速度非常快,包装非常仔细、严实,快递员服务态度很好，很满意的一次购物！我会再次光顾的！"
2020-03-11 21:02,大红瓶面霜50g,comment-star star5,非常划算，一瓶大红加送四个小样！皮肤非常舒服，质地比较湿润，气味清爽，抹在脸上我不会油腻，敏感肌肤用起来也不会不舒服，吸收非常快，保湿效果很好，京东快递非常给力，疫情期间送货也非常快，包装完好，保质保量。
2021-08-28 22:02,【滋润面霜】大红瓶面霜80g,comment-star star5,大红瓶，非常好，用了两年了，这个包装非常划算，80毫升送4小瓶，非常不错，赞一个保湿效果：非常棒吸收程度：不错，吸收非常好，不错控油效果：控油效果不错，不错产品质地：不错，非常好，值得购买
